,number,src_ip,dst_ip,proto,ip_pkt_len,ip_checksum_status,ip_ttl,ip_highest_layer,stream_index,src_port,dst_port,timestamp,time_delta,flags,tcp_flags_ack,tcp_flags_syn,tcp_flags_fin,tcp_flags_urg,tcp_checksum_status,icmp_type_code,icmp_checksum_status,label,label0,label1,label2,label3,label4,label5,label6
36,378,3319443781,2886758450,6,41,2,64,TELNET,3,45077,23,6.14883,0.054397,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
37,381,2886758706,3317062633,6,41,2,60,TELNET,5,23,44912,0.960704,0.000769,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
38,384,2886758450,3319443781,6,40,2,255,TCP,3,23,45077,6.384629,0.045605,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
39,387,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,7.469641,0.000253,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
40,390,2886758706,3317062633,6,41,2,60,TELNET,5,23,44912,1.149983,0.000791,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
41,393,3319443781,2886758450,6,42,2,64,TELNET,3,45077,23,6.539937,0.055318,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
42,396,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,1.329171,0.160113,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
43,399,2886758450,3319443781,6,1178,2,255,TELNET,3,23,45077,6.706812,0.147969,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
44,402,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,7.758924,0.000403,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
45,405,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,7.778396,0.019472,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
46,408,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,7.868516,0.09012,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
47,411,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,1.579142,0.230065,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
48,414,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,7.978475,0.090099,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
49,417,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,8.098451,0.100099,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
50,420,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,1.849062,0.250083,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
51,423,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,8.20864,0.00022,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
52,426,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,8.498623,0.270322,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
53,429,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,2.319203,0.450278,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
54,432,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,8.788719,0.270254,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
55,435,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,2.499142,0.160097,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
56,438,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,8.898587,0.090178,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
57,441,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.008508,0.090116,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
58,444,2886758706,3317062633,6,41,2,60,TELNET,5,23,44912,2.680038,0.00077,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
59,447,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.118652,0.090235,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
60,450,3317062633,2886758706,6,42,2,64,TELNET,5,44912,23,2.860582,0.174425,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
61,453,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.228431,0.090094,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
62,456,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.338632,0.090315,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
63,459,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.53859,0.180068,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
64,462,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,9.828547,0.27008,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
65,465,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,10.1185,0.270072,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
66,468,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,10.348868,0.210522,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
67,471,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,10.458921,0.090351,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
68,474,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,10.638854,0.160304,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
69,477,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,10.848767,0.190303,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
70,480,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.138692,0.270219,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
71,483,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.248605,0.090219,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
72,486,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.398654,0.130101,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
73,489,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.53861,0.12009,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
74,492,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.648601,0.09011,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
75,495,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.758564,0.090096,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
76,498,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,11.938728,0.160283,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
77,501,3255302297,2886759188,6,53,2,64,TELNET,4,43459,23,10.089727,10.070527,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
78,504,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,12.228624,0.270206,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
79,507,3317062633,2886758706,6,41,2,64,TELNET,5,44912,23,5.970149,3.091211,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
80,510,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,12.338671,0.090314,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
81,513,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,12.628626,0.270066,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
82,525,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,12.918804,0.000234,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
83,531,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,13.028529,0.090102,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
84,534,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,13.048405,0.019652,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
85,543,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,13.238484,0.190079,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
86,558,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,13.458885,0.000229,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
87,567,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,13.588514,0.019654,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
88,573,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,13.718605,0.130091,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
89,576,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,13.738482,0.019638,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
90,585,3394085589,2886758706,1,38,2,253,ICMP,,,,,,,,,,,,80,1,0,1,0,0,0,0,0,0
91,603,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,14.288709,0.260288,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
92,606,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,14.308581,0.019643,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
93,621,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,14.578874,0.000222,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
94,633,2886758594,3394085589,1,38,2,64,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
95,636,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,14.86866,0.270135,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
96,651,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,15.158759,0.000223,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
97,657,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,15.268905,0.090506,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
98,660,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,15.288614,0.019487,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
99,663,3394085589,2886758761,1,38,2,253,ICMP,,,,,,,,,,,,80,1,0,1,0,0,0,0,0,0
100,666,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,15.378795,0.090181,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
101,693,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,15.878477,0.01957,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
102,705,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,16.148545,0.270068,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
103,708,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,16.168453,0.019676,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
104,717,2886758706,3317062633,6,73,2,60,TELNET,5,23,44912,10.014789,0.003569,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
105,723,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,16.439205,0.000228,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
106,726,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,16.458643,0.019438,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
107,735,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,16.618558,0.018923,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
108,753,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,16.929074,0.000229,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
109,756,2886758594,3394085589,1,38,2,64,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
110,768,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,17.218692,0.27018,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
111,771,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,17.238413,0.019506,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
112,783,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,17.508946,0.000233,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
113,798,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,17.798886,0.000239,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
114,810,2886758594,3394085589,1,38,2,64,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
115,813,2886758740,2886758450,6,41,2,64,TELNET,0,1591,23,18.018648,0.090153,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
116,816,2886758740,2886758450,6,40,2,64,TCP,0,1591,23,18.03847,0.019596,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
117,822,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,18.128796,0.000229,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
118,843,2886758450,2886758740,6,41,2,255,TELNET,0,23,1591,18.52892,0.000217,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
119,864,2886758860,3344910938,6,44,2,64,TCP,6,10791,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
120,867,2886758860,3344910938,6,297,2,64,HTTP,6,10791,80,0.000899,0.000498,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
121,870,3344910938,2886758860,6,1500,2,64,TCP,6,80,10791,0.036334,0.012041,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
122,876,2886758860,3344910938,6,40,2,64,TCP,6,10791,80,0.053821,0.001534,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
123,879,2886758860,3344910938,6,40,2,64,TCP,6,10791,80,0.063819,0.002971,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
124,882,2886758740,2886758450,6,42,2,64,TELNET,0,1591,23,18.931112,0.272539,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
125,885,2886758860,3344910938,6,40,2,64,TCP,6,10791,80,0.073874,0.007522,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
126,888,3344910938,2886758860,6,1500,2,64,TCP,6,80,10791,0.077654,0.001232,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
127,891,3344910938,2886758860,6,1500,2,64,TCP,6,80,10791,0.085117,0.001304,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
128,894,2886758860,3344910938,6,40,2,64,TCP,6,10791,80,0.086921,0.000797,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
129,900,2886758860,3344910938,6,44,2,64,TCP,7,10793,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
130,903,2886758860,3344910938,6,365,2,64,HTTP,7,10793,80,0.000931,0.000564,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
131,909,2886758860,3344910938,6,40,2,64,TCP,7,10793,80,0.061612,0.000828,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
132,912,2886758860,3344910938,6,40,2,64,TCP,7,10793,80,0.071608,0.001577,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
133,915,2886758860,3344910938,6,40,2,64,TCP,7,10793,80,0.081606,0.002973,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
134,918,2886758860,3344910938,6,40,2,64,TCP,7,10793,80,0.091619,0.007496,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
135,921,2886758860,3344910938,6,40,2,64,TCP,7,10793,80,0.093327,0.000158,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
136,924,2886758860,2886759188,17,60,2,64,DNS,2,1875,53,0,0,,,,,,2,,,0,1,0,0,0,0,0,0
137,927,3344910938,2886758860,6,44,2,64,TCP,8,80,10794,0.000158,0.000158,0x00000012,1,1,0,0,2,,,0,1,0,0,0,0,0,0
138,930,3344910938,2886758860,6,40,2,64,TCP,8,80,10794,0.025489,0.024674,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
139,933,2886758860,3344910938,6,40,2,64,TCP,8,10794,80,0.035014,0.002648,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
140,936,3344910938,2886758860,6,1500,2,64,TCP,8,80,10794,0.043488,0.001244,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
141,939,3344910938,2886758860,6,1500,2,64,TCP,8,80,10794,0.052004,0.005705,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
142,942,2886758860,3344910938,6,40,2,64,TCP,8,10794,80,0.055462,0.00015,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
143,945,2886758860,2886759188,17,60,2,64,DNS,3,1876,53,0,0,,,,,,2,,,0,1,0,0,0,0,0,0
144,948,3344910938,2886758860,6,44,2,64,TCP,9,80,10795,0.00017,0.00017,0x00000012,1,1,0,0,2,,,0,1,0,0,0,0,0,0
145,954,3344910938,2886758860,6,40,2,64,TCP,9,80,10795,0.034107,0.000277,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
146,957,3344910938,2886758860,6,40,2,64,TCP,9,80,10795,0.034695,0.00012,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
147,960,2886758860,3344910938,6,44,2,64,TCP,10,10798,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
148,963,2886758860,3344910938,6,353,2,64,HTTP,10,10798,80,0.000797,0.000482,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
149,966,3344910938,2886758860,6,40,2,64,TCP,10,80,10798,0.025602,0.000328,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
150,969,3344910938,2886758860,6,40,2,64,TCP,10,80,10798,0.026049,0.000126,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
151,972,2886758860,3344910938,6,44,2,64,TCP,11,10857,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
152,975,2886758860,3344910938,6,355,2,64,HTTP,11,10857,80,0.000788,0.000482,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
153,978,3344910938,2886758860,6,40,2,64,TCP,11,80,10857,0.02605,0.000199,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
154,981,3344910938,2886758860,6,40,2,64,TCP,11,80,10857,0.026662,0.000134,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
155,984,2886758860,3344910938,6,44,2,64,TCP,12,10858,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
156,987,2886758860,3344910938,6,369,2,64,HTTP,12,10858,80,0.000821,0.000487,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
157,993,2886758860,3344910938,6,40,2,64,TCP,12,10858,80,0.053347,0.000191,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
158,996,2886758860,2886759188,17,60,2,64,DNS,7,1880,53,0,0,,,,,,2,,,0,1,0,0,0,0,0,0
159,999,3344910938,2886758860,6,44,2,64,TCP,13,80,10859,0.000159,0.000159,0x00000012,1,1,0,0,2,,,0,1,0,0,0,0,0,0
160,1005,2886758860,3344910938,6,40,2,64,TCP,13,10859,80,0.027994,0.000172,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
161,1008,2886758860,2886759188,17,60,2,64,DNS,8,1881,53,0,0,,,,,,2,,,0,1,0,0,0,0,0,0
162,1011,3344910938,2886758860,6,44,2,64,TCP,14,80,10862,0.000171,0.000171,0x00000012,1,1,0,0,2,,,0,1,0,0,0,0,0,0
163,1017,3344910938,2886758860,6,40,2,64,TCP,14,80,10862,0.031297,0.000065,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
164,1020,3344910938,2886758860,6,40,2,64,TCP,14,80,10862,0.032049,0.000129,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
165,1023,2886758860,3344910938,6,44,2,64,TCP,15,10920,80,0,0,0x00000002,0,1,0,0,2,,,0,1,0,0,0,0,0,0
166,1026,2886758860,3344910938,6,359,2,64,HTTP,15,10920,80,0.000792,0.000482,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
167,1029,3344910938,2886758860,6,1500,2,64,TCP,15,80,10920,0.03049,0.00123,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
168,1032,3344910938,2886758860,6,40,2,64,TCP,15,80,10920,0.046777,0.000069,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
169,1035,2886758860,3344910938,6,40,2,64,TCP,15,10920,80,0.047511,0.000586,0x00000011,1,0,1,0,2,,,0,1,0,0,0,0,0,0
170,1038,2886759188,2886758860,17,120,2,255,DNS,10,53,1883,0.000784,0.000784,,,,,,2,,,0,1,0,0,0,0,0,0
171,1041,2886758860,3344910938,6,40,2,64,TCP,16,10984,80,0.000313,0.000152,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
172,1044,3344910938,2886758860,6,1500,2,64,TCP,16,80,10984,0.029727,0.028929,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
173,1047,3344910938,2886758860,6,1500,2,64,TCP,16,80,10984,0.046845,0.007219,0x00000018,1,0,0,0,2,,,0,1,0,0,0,0,0,0
174,1053,2886758860,3344910938,6,40,2,64,TCP,16,10984,80,0.049624,0.001536,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
175,1056,2886758860,3344910938,6,40,2,64,TCP,16,10984,80,0.053742,0.000146,0x00000010,1,0,0,0,2,,,0,1,0,0,0,0,0,0
176,1071,2886758594,3394085589,1,38,2,64,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
177,1098,2886758420,2886758655,17,52,2,64,RIP,11,520,520,0,0,,,,,,2,,,0,1,0,0,0,0,0,0
178,1110,2886758450,3394085589,1,38,2,255,ICMP,,,,,,,,,,,,0,1,0,1,0,0,0,0,0,0
